income_hr,education,sex,age,urban_rural,province,sector,hours_worked
3250.0,Lower_secondary,Male,26,Rural,Northern Province,Industry,10.0
130.0,Primary,Female,17,Rural,Northern Province,Services,10.0
650.0,Upper_secondary,Male,26,Rural,Northern Province,Industry,30.0
182.0,Lower_secondary,Male,25,Rural,Northern Province,Agriculture,25.0
182.0,Primary,Female,22,Rural,Northern Province,Agriculture,25.0
260.0,Primary,Male,25,Rural,Northern Province,Agriculture,25.0
325.0,Primary,Male,25,Rural,Northern Province,Agriculture,10.0
208.0,Primary,Female,19,Rural,Northern Province,Agriculture,25.0
250.0,Primary,Female,24,Rural,Northern Province,Agriculture,30.0
166.66667,Upper_secondary,Male,22,Rural,Northern Province,Industry,45.0
173.61111,Primary,Male,26,Rural,Northern Province,Agriculture,36.0
145.83333,Primary,Male,25,Rural,Northern Province,Agriculture,36.0
166.66667,Lower_secondary,Female,23,Rural,Northern Province,Agriculture,36.0
200.0,Primary,Female,26,Rural,Northern Province,Agriculture,30.0
173.61111,Primary,Male,21,Rural,Northern Province,Industry,36.0
750.0,University,Male,26,Rural,Northern Province,Services,45.0
972.2222,University,Male,29,Rural,Northern Province,Services,45.0
58.59375,Primary,Female,18,Rural,Northern Province,Services,64.0
250.0,Upper_secondary,Male,26,Rural,Northern Province,Services,45.0
156.0,Primary,Female,19,Rural,Eastern Province,Agriculture,25.0
1857.1428,Lower_secondary,Male,23,Rural,Eastern Province,Agriculture,7.0
433.33334,Primary,Female,24,Rural,Eastern Province,Agriculture,12.0
144.44444,Primary,Male,29,Rural,Eastern Province,Agriculture,36.0
208.33333,Upper_secondary,Female,23,Rural,Eastern Province,Services,45.0
455.0,Lower_secondary,Male,19,Rural,Eastern Province,Agriculture,10.0
144.44444,Primary,Female,23,Rural,Eastern Province,Agriculture,36.0
180.55556,Primary,Female,23,Rural,Eastern Province,Agriculture,36.0
866.6667,Primary,Female,18,Rural,Eastern Province,Agriculture,6.0
1083.3334,Primary,Female,16,Rural,Eastern Province,Agriculture,6.0
108.333336,Primary,Female,17,Rural,Eastern Province,Agriculture,30.0
216.66667,Primary,Female,21,Rural,Eastern Province,Agriculture,30.0
1111.1111,University,Male,26,Urban,Kigali city,Services,45.0
104.166664,Upper_secondary,Female,26,Urban,Kigali city,Services,84.0
119.04464,Primary,Male,29,Urban,Kigali city,Industry,28.0
130.20833,Primary,Male,20,Urban,Kigali city,Services,72.0
252.52652,Lower_secondary,Male,21,Urban,Kigali city,Services,66.0
35.714287,Primary,Female,19,Urban,Kigali city,Services,70.0
126.689186,Upper_secondary,Male,25,Urban,Kigali city,Services,74.0
39.68254,Primary,Female,20,Urban,Kigali city,Services,63.0
79.36508,Primary,Female,18,Urban,Kigali city,Services,63.0
562.5,Upper_secondary,Male,22,Urban,Kigali city,Services,40.0
1125.0,University,Male,30,Urban,Kigali city,Services,40.0
79.36508,Primary,Female,29,Urban,Kigali city,Services,63.0
500.0,Upper_secondary,Male,29,Urban,Kigali city,Services,40.0
39.68254,Primary,Male,19,Urban,Kigali city,Services,63.0
650.0,Primary,Male,19,Rural,Kigali city,Agriculture,10.0
541.6667,Primary,Male,29,Rural,Kigali city,Industry,24.0
260.0,Lower_secondary,Male,24,Rural,Kigali city,Agriculture,15.0
340.13776,Lower_secondary,Male,30,Urban,Kigali city,Services,49.0
185.71428,Lower_secondary,Female,29,Urban,Kigali city,Services,35.0
1111.1111,Upper_secondary,Female,22,Urban,Kigali city,Services,45.0
74.07222,Upper_secondary,Male,29,Urban,Kigali city,Services,45.0
51.36986,Primary,Female,20,Urban,Kigali city,Services,73.0
69.44444,Primary,Male,21,Urban,Kigali city,Services,72.0
76.53061,Primary,Male,22,Urban,Kigali city,Services,49.0
76.53061,Primary,Female,24,Urban,Kigali city,Services,49.0
107.638885,Upper_secondary,Female,24,Urban,Kigali city,Services,72.0
833.3333,University,Male,28,Urban,Kigali city,Services,45.0
104.166664,Lower_secondary,Female,22,Rural,Kigali city,Services,48.0
29.166666,Primary,Female,19,Rural,Kigali city,Services,60.0
451.3889,Primary,Male,21,Rural,Kigali city,Industry,36.0
185.18518,Primary,Male,20,Rural,Kigali city,Industry,54.0
185.18518,Primary,Male,24,Rural,Kigali city,Industry,54.0
136.79245,Upper_secondary,Male,30,Rural,Kigali city,Services,106.0
190.78947,Upper_secondary,Female,28,Rural,Kigali city,Services,76.0
325.0,Upper_secondary,Female,28,Rural,Kigali city,Services,40.0
166.66667,Lower_secondary,Male,23,Urban,Kigali city,Services,60.0
3125.0,Upper_secondary,Female,24,Urban,Kigali city,Services,8.0
66.96429,Primary,Male,19,Urban,Kigali city,Services,56.0
89.28571,Lower_secondary,Female,20,Urban,Kigali city,Services,42.0
625.0,University,Male,29,Urban,Kigali city,Services,40.0
76.53061,Lower_secondary,Female,27,Urban,Kigali city,Services,49.0
71.42857,Primary,Female,18,Urban,Kigali city,Services,42.0
1302.0834,University,Male,24,Urban,Kigali city,Industry,48.0
541.6667,Upper_secondary,Male,29,Urban,Kigali city,Industry,24.0
89.28571,Lower_secondary,Female,19,Urban,Kigali city,Services,42.0
272.72726,Upper_secondary,Male,23,Urban,Kigali city,Services,55.0
1111.1111,University,Male,30,Urban,Kigali city,Services,45.0
71.42857,Primary,Female,20,Urban,Kigali city,Services,70.0
53.57143,Lower_secondary,Female,17,Urban,Kigali city,Services,70.0
1111.1111,Upper_secondary,Male,30,Urban,Kigali city,Services,45.0
89.28571,Primary,Male,26,Urban,Kigali city,Services,70.0
89.28571,Lower_secondary,Male,30,Urban,Kigali city,Services,70.0
148.80952,Lower_secondary,Female,27,Urban,Kigali city,Services,42.0
119.04762,Primary,Female,20,Urban,Kigali city,Services,42.0
89.28571,Primary,Male,17,Urban,Kigali city,Services,42.0
308.4491,Upper_secondary,Male,25,Urban,Kigali city,Services,72.0
119.04762,Primary,Female,19,Urban,Kigali city,Services,42.0
148.57143,Lower_secondary,Female,23,Rural,Kigali city,Agriculture,35.0
216.66667,Primary,Female,17,Rural,Kigali city,Agriculture,30.0
100.0,Primary,Female,25,Rural,Kigali city,Services,50.0
68.181816,Primary,Female,18,Rural,Kigali city,Services,55.0
62.5,Primary,Male,20,Rural,Kigali city,Agriculture,40.0
173.33333,Upper_secondary,Male,28,Rural,Southern Province,Services,45.0
216.66667,Primary,Male,21,Rural,Southern Province,Agriculture,30.0
230.20833,Upper_secondary,Female,29,Rural,Southern Province,Industry,40.0
650.0,Primary,Male,19,Rural,Southern Province,Agriculture,6.0
180.55556,Primary,Male,26,Urban,Southern Province,Industry,60.0
113.63636,Upper_secondary,Male,27,Urban,Southern Province,Services,66.0
520.0,Primary,Male,23,Rural,Southern Province,Agriculture,10.0
252.77777,Primary,Female,26,Rural,Southern Province,Agriculture,18.0
156.0,Primary,Male,21,Rural,Southern Province,Industry,50.0
78.0,Primary,Male,17,Rural,Southern Province,Agriculture,25.0
115.55556,Primary,Female,30,Rural,Southern Province,Agriculture,45.0
41.666668,Primary,Male,17,Rural,Southern Province,Agriculture,48.0
83.33125,Primary,Male,24,Rural,Southern Province,Industry,40.0
35.714287,Primary,Male,22,Rural,Southern Province,Services,70.0
62.5,Primary,Male,22,Rural,Southern Province,Services,60.0
379.16666,Primary,Female,25,Rural,Western Province,Agriculture,12.0
130.0,Primary,Female,19,Rural,Western Province,Agriculture,30.0
216.66667,Primary,Male,25,Rural,Western Province,Industry,30.0
71.42857,Lower_secondary,Male,18,Rural,Western Province,Agriculture,35.0
130.0,Primary,Male,25,Rural,Western Province,Agriculture,30.0
555.55554,Primary,Male,26,Urban,Western Province,Services,54.0
370.37222,Upper_secondary,Female,22,Urban,Western Province,Services,45.0
1083.3334,Primary,Male,28,Urban,Western Province,Industry,12.0
71.42857,Primary,Female,17,Urban,Western Province,Services,35.0
107.14286,Primary,Female,18,Urban,Western Province,Services,35.0
1444.4445,Upper_secondary,Male,23,Urban,Western Province,Industry,18.0
601.85187,University,Female,26,Rural,Western Province,Services,27.0
216.66667,Primary,Female,21,Rural,Western Province,Agriculture,30.0
81.25,Lower_secondary,Female,26,Rural,Western Province,Agriculture,56.0
144.44444,Primary,Male,27,Rural,Western Province,Agriculture,36.0
144.44444,Primary,Female,27,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Male,30,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Male,19,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Male,29,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Female,24,Rural,Western Province,Agriculture,36.0
